Category,Title,Products
Language Packs,Microsoft .NET Framework 4.7 Language Packs for Windows 10 Version 1607 and Windows Server 2016 for x64 (KB3186607),"Windows 10, Windows Server 2016"
Language Packs,Microsoft .NET Framework 4.7 Language Packs for Windows 10 Version 1607 for x64 (KB3186607),Windows 10
Language Packs,Microsoft .NET Framework 4.7 Language Packs for Windows 8.1 (KB3186606),Windows 8.1
Language Packs,Microsoft .NET Framework 4.7 Language Packs for Windows 8.1 and Windows Server 2012 R2 for x64 (KB3186606),"Windows 8.1, Windows Server 2012 R2"
Superseded,Microsoft .NET Framework 4.7.1 for Windows 10 Version 1607 (KB4033393),Windows 10
Superseded,Microsoft .NET Framework 4.7.1 for Windows 10 Version 1607 for x64 (KB4033393),Windows 10
Superseded,Microsoft .NET Framework 4.7.1 for Windows 8.1 (KB4033369),Windows 8.1
Superseded,Microsoft .NET Framework 4.7.1 for Windows 8.1 and Windows Server 2012 R2 for x64 (KB4033369),"Windows Server 2012 R2, Windows 8.1"
Language Packs,Microsoft .NET Framework 4.7.1 Language Packs for Windows 10 Version 1607 (KB4033418),Windows 10
Language Packs,Microsoft .NET Framework 4.7.1 Language Packs for Windows 10 Version 1607 for x64 (KB4033418),Windows 10
Language Packs,Microsoft .NET Framework 4.7.1 Language Packs for Windows 8.1 (KB4033417),Windows 8.1
Language Packs,Microsoft .NET Framework 4.7.1 Language Packs for Windows 8.1 and Windows Server 2012 R2 for x64 (KB4033417),"Windows Server 2012 R2, Windows 8.1"
Language Packs,Microsoft .NET Framework 4.7.2 Language Packs for Windows 10 Version 1607 (KB4054535),Windows 10
Language Packs,Microsoft .NET Framework 4.7.2 Language Packs for Windows 10 Version 1607 for x64 (KB4054535),Windows 10
Language Packs,Microsoft .NET Framework 4.7.2 Language Packs for Windows 8.1 (KB4054534),Windows 8.1
Language Packs,Microsoft .NET Framework 4.7.2 Language Packs for Windows 8.1 for x64 (KB4054534),Windows 8.1
Language Packs,Microsoft .NET Framework 4.7.2 Language Packs for Windows Server 2012 R2 for x64 (KB4054534),Windows Server 2012 R2
Region - GB,Microsoft Office Accounting 2008 UK Service Pack 1 (KB949426),Office 2007
Region - US,Microsoft Office Accounting 2008 US Service Pack 1 (KB949426),Office 2007
Region - GB/US,Microsoft Office Accounting 2009 Service Pack 3 (KB2006634),Office 2007
Superseded,Microsoft SQL Server 2008 R2 Service Pack 1 (KB2528583),SQL Server 2008 R2
Superseded,Microsoft SQL Server 2008 Service Pack 3 (KB2546951),SQL Server 2008
Superseded,Microsoft SQL Server 2012 SP2 Cumulative Update (CU) 13 KB3165266,Microsoft SQL Server 2012
Superseded,Microsoft SQL Server 2014 RTM Cumulative Update (CU) 14 KB3158271,Microsoft SQL Server 2014
Superseded,Microsoft SQL Server 2014 SP1 Cumulative Update (CU) 8 KB3174038,Microsoft SQL Server 2014
Superseded,Network Diagnostic Tool (KB914440),Windows XP
Language Packs,Office 2003 Service Pack 3 (SP3) for Multilingual User Interface Pack,Office 2003
Region - GB/US,Office Accounting 2007 Service Pack 1,Office 2007
Language Packs,Office XP Input Method Editor Update: KB835727 for Multilingual User Interface Pack,Office 2002/XP
Language Packs,Office XP Service Pack 3 for Multilingual User Interface Pack,Office 2002/XP
Language Packs,Project 2002 Service Pack 1 for Multilingual User Interface Pack,Office 2002/XP
Language Packs,Project 2003 Service Pack 3 (SP3) for Multilingual User Interface Pack,Office 2003
Superseded,Q320206: Security Update,Windows 2000
Superseded,Q326830: Security Update (Windows 2000),Windows 2000
Superseded,Q329115: Security Update (Windows 2000),Windows 2000
Superseded,Q329414: Security Update (MDAC 2.5),Windows 2000
Superseded,Q329414: Security Update (MDAC 2.6),Windows 2000
Superseded,Q329553: Critical Update (Windows 2000),Windows 2000
Superseded,Q811114: Security Update (Windows 2000 with Service Pack 2 or Service Pack 3),Windows 2000
Superseded,Q815487: Critical update for Windows XP Media Center Edition,Windows XP
Language Packs,Remote Desktop Connection (Terminal Services Client 6.0) MUI Language Pack for Windows XP (KB925877),Windows XP
Superseded,Security Update (326886),Windows 2000
Superseded,Security Update for .NET Framework 3.5 on Windows Server 2003 and Windows XP x86 (KB2478656),"Windows Server 2003, Windows XP, Windows Server 2003, Datacenter Edition"
Superseded,Security Update for .NET Framework 3.5 on Windows Server 2003 and Windows XP x86 (KB2530095),"Windows Server 2003, Windows XP, Windows Server 2003, Datacenter Edition"
Superseded,Security Update for .NET Framework 3.5 on Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB983587),"Windows Server 2008, Windows Vista"
Superseded,Security Update for .NET Framework 3.5 on Windows Vista SP1 and Windows Server 2008 x86 (KB983587),"Windows Server 2008, Windows Vista"
Superseded,Security Update for .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB2478659),"Windows Server 2008, Windows Vista"
Superseded,Security Update for .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB2518865),"Windows Server 2008, Windows Vista"
Superseded,Security Update for .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 x86 (KB2478659),"Windows Server 2008, Windows Vista"
Superseded,Security Update for .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 x86 (KB2518865),"Windows Server 2008, Windows Vista"
Superseded,"Security Update for .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 for x64-based Systems (KB2478657)","Windows Server 2008, Windows Vista"
Superseded,"Security Update for .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 for x64-based Systems (KB2518863)","Windows Server 2008, Windows Vista"
Superseded,"Security Update for .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 x86 (KB2478657)","Windows Server 2008, Windows Vista"
Superseded,"Security Update for .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 x86 (KB2518863)","Windows Server 2008, Windows Vista"
Superseded,Security Update for DirectX 8 for Windows 2000 (KB971633),Windows 2000
Superseded,Security Update for DirectX 8.0 (KB839643),Windows 2000
Superseded,Security Update for DirectX 8.1 (KB839643),Windows 2000
Superseded,Security Update for DirectX 9 for Windows XP (KB904706),Windows XP
Superseded,Security Update for Exchange Server 2003 (KB894549),Exchange Server 2003
Superseded,Security Update for Exchange Server 2003 Service Pack 1 (KB894549),Exchange Server 2003
Superseded,Security Update for Exchange Server 2003 Service Pack 1 (KB931832) - Cluster,Exchange Server 2003
Superseded,Security Update for Exchange Server 2003 Service Pack 1 (KB931832) - Non-cluster,Exchange Server 2003
Superseded,Security Update For Exchange Server 2013 CU1 (KB2874216),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU10 (KB3124557),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU11 (KB3150501),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU12 (KB3184736),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU2 (KB2880833),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU3 (KB2880833),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU6 (KB3011140),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU7 (KB3040856),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU8 (KB3087126),Exchange Server 2013
Superseded,Security Update For Exchange Server 2013 CU9 (KB3087126),Exchange Server 2013
Superseded,Security Update For Exchange Server 2016 CU1 (KB3184736),Exchange Server 2016
Superseded,Security Update for Internet Explorer 6 Service Pack 1 (KB925486),Windows XP
Superseded,Security Update for Microsoft .NET Framework 2.0 (KB947746),Windows 2000
Superseded,Security Update for Microsoft .NET Framework 2.0 Service Pack 1 (KB972591),Windows Vista
Superseded,Security Update for Microsoft .NET Framework 2.0 Service Pack 2 (KB972592),Windows Vista
Superseded,Security Update for Microsoft .NET Framework 3.5 on Windows Server 2003 and Windows XP x86 (KB2416468),"Windows Server 2003, Windows XP, Windows Server 2003, Datacenter Edition"
Superseded,"Security Update for Microsoft .NET Framework 3.5 on Windows XP, Windows Server 2003, Windows Vista, Windows Server 2008 for x64-based Systems (KB2418240)","Windows Server 2003, Windows Server 2003, Datacenter Edition, Windows XP x64 Edition, Windows Server 2008, Windows Vista"
Superseded,"Security Update for Microsoft .NET Framework 3.5 on Windows XP, Windows Server 2003, Windows Vista, Windows Server 2008 x86 (KB2418240)","Windows Server 2003, Windows XP, Windows Server 2003, Datacenter Edition, Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB2416474),"Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 3.5 SP1 on Windows Vista SP1 and Windows Server 2008 x86 (KB2416474),"Windows Server 2008, Windows Vista"
Superseded,"Security Update for Microsoft .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 for x64-based Systems (KB2416469)","Windows Server 2008, Windows Vista"
Superseded,"Security Update for Microsoft .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 x86 (KB2416469)","Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2604114),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2656355),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2656410),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2729451),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2736418),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2742598),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2756920),"Windows 7, Windows Server 2008 R2"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2789644),"Windows 7, Windows Server 2008 R2, Windows Embedded Standard 7"
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2604114),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2656355),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2656410),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2729451),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2736418),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2742598),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2756920),Windows 7
Superseded,Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 x86 (KB2789644),"Windows 7, Windows Embedded Standard 7"
Superseded,Security Update for Microsoft .NET Framework 4 on Windows Vista SP2 and Windows Server 2008 SP2  x86 (KB3099866),"Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 4 on Windows Vista SP2 and Windows Server 2008 SP2 x64 (KB3099866),"Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 4.5 and 4.5.1 on Windows 8 (KB2894855),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 and 4.5.1 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2894855),"Windows 8, Windows Server 2012"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Vista and Server 2008 for x64 (KB2861193),"Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 (KB2737084),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 (KB2840632),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 (KB2898865),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 and Windows Server 2012 for x64 (KB2742614),"Windows 8, Windows Server 2012"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2737084),"Windows 8, Windows Server 2012"
