Category,Title,Products
Superseded,SQL Server 2012 Service Pack 2 Cumulative Update (CU) 15 KB3205416,Microsoft SQL Server 2012
Superseded,SQL Server 2012 Service Pack 2 Cumulative Update (CU) 16 KB3205054,Microsoft SQL Server 2012
Superseded,SQL Server 2014 Service Pack 1 Cumulative Update (CU) 11 KB4010392,Microsoft SQL Server 2014
Superseded,SQL Server 2014 Service Pack 1 Cumulative Update (CU) 13 KB4019099,Microsoft SQL Server 2014
Superseded,SQL Server 2016 RTM Cumulative Update (CU) 5 KB4013105,Microsoft SQL Server 2016
Superseded,Update for Exchange Server 2003 (KB888619),Exchange Server 2003
Superseded,Update for Exchange Server 2003 Service Pack 1 (KB931978) - Cluster,Exchange Server 2003
Superseded,Update for Exchange Server 2003 Service Pack 1 (KB931978) - Non-cluster,Exchange Server 2003
Superseded,Update for Internet Explorer 6 for Windows XP (KB946627),Windows XP
Language Packs,Update for LIP SP2 MUI Resource Loading (KB913808),Windows XP
Superseded,Update for Microsoft .NET Framework 3.0 (KB932394),"Windows Server 2003, Windows Server 2003, Datacenter Edition, Windows XP, Windows XP x64 Edition"
Language Packs,Update for Microsoft .NET Framework 4.5 Language Packs for x64-based Systems (KB2770446),"Windows Server 2008, Windows 7, Windows Server 2008 R2, Windows Vista"
Language Packs,Update for Microsoft .NET Framework 4.5 Language Packs x86 (KB2770446),"Windows Server 2008, Windows 7, Windows Vista"
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB2910955) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB2910955) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3118261) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3118261) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3118333) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3118333) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3191866) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3191866) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3191930) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB3191930) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB4032232) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB4032232) 64-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB4461475) 32-Bit Edition,Office 2016
Language Packs,Update for Microsoft Office 2016 Language Interface Pack (KB4461475) 64-Bit Edition,Office 2016
Region - GB/US,Update for Microsoft Office Accounting 2007 (KB946690),Office 2007
Superseded,Update for Microsoft Office Outlook 2007 Junk Email Filter (KB2825642),Office 2007
Superseded,Update for Microsoft Office Outlook 2007 Junk Email Filter (KB2880505),Office 2007
Superseded,Update for Microsoft SkyDrive Pro (KB2837652) 64-Bit Edition,Office 2013
Superseded,Update for Microsoft Visual Studio 2012 (KB2781514),Visual Studio 2012
Superseded,Update for Microsoft Visual Studio 2013 Update 1 (KB2932965),Visual Studio 2013
Superseded,Update for Microsoft Visual Studio Team Foundation Server 2013 (KB2989279),Visual Studio 2013
Superseded,Update for Office SharePoint Foundation 2010 (KB2553014),Office 2010
Superseded,Update Rollup 10 for Exchange Server 2007 Service Pack 1 (KB981407),Exchange Server 2007
Superseded,Update Rollup 5 for Exchange Server 2007 Service Pack 2 (KB2407132),Exchange Server 2007
Superseded,Update Rollup 5 for Exchange Server 2010 (KB2407113),Exchange Server 2010
Superseded,Update Rollup 7 for Exchange Server 2007 (KB953469),Exchange Server 2007
Superseded,Update Rollup 7-v2 for Exchange Server 2010 Service Pack 1 (KB2756496),Exchange Server 2010
Superseded,Update Rollup 8 for Exchange Server 2010 Service Pack 1 (KB2787763),Exchange Server 2010
Superseded,Update Rollup 8 for Exchange Server 2010 Service Pack 2 (KB2903903),Exchange Server 2010
Superseded,Update Rollup 8-v2 for Exchange Server 2007 Service Pack 3 (KB2756497),Exchange Server 2007
Language Packs,Visio 2003 Service Pack 3 (SP3) for Multilingual User Interface Pack,Office 2003
Language Packs,Windows Internet Explorer 7 MUI Pack for Windows Server 2003 (x64) and Windows XP 64-bit Edition Version 2003,"Windows XP x64 Edition, Windows Server 2003, Datacenter Edition, Windows Server 2003"
Language Packs,Windows Internet Explorer 7 MUI Pack for Windows XP and Windows Server 2003 (x86),"Windows Server 2003, Windows XP"
Language Packs,Windows Internet Explorer 9 Language Pack for Windows 7,Windows 7
Language Packs,Windows Internet Explorer 9 Language Pack for Windows 7 for x64-based Systems,Windows 7
Language Packs,Windows Internet Explorer 9 Language Pack for Windows Server 2008,Windows Server 2008
Language Packs,Windows Internet Explorer 9 Language Pack for Windows Server 2008 for x64-based systems,Windows Server 2008
Language Packs,Windows Internet Explorer 9 Language Pack for Windows Server 2008 R2 for x64-based Systems,Windows Server 2008 R2
Language Packs,Windows Internet Explorer 9 Language Pack for Windows Vista,Windows Vista
Language Packs,Windows Internet Explorer 9 Language Pack for Windows Vista for x64-based systems,Windows Vista
Superseded,Windows Malicious Software Removal Tool x64 - January 2008 (KB890830),Windows Vista
Service Packs - All Languages,Windows Server 2008 Service Pack 2 Standalone (KB948465) - All Languages,Windows Server 2008
Service Packs - All Languages,Windows Server 2008 Service Pack 2 Standalone x64-based Systems (KB948465) - All Languages,Windows Server 2008
Service Packs - All Languages,Windows Vista Service Pack 1 Standalone (KB936330) - All Languages,Windows Vista
Service Packs - All Languages,Windows Vista Service Pack 1 Standalone for x64-based Systems (KB936330) - All Languages,Windows Vista
Service Packs - All Languages,Windows Vista Service Pack 2 Standalone (KB948465) - All Languages,Windows Vista
Service Packs - All Languages,Windows Vista Service Pack 2 Standalone for x64-based Systems (KB948465) - All Languages,Windows Vista
